[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_usersafetyinformation` [ RunTime:0.014001s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `PayPassWord` FROM `pay_usersafetyinformation` WHERE UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_tkfl` [ RunTime:0.011000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `fl_money` FROM `pay_tkfl` WHERE k_money <= 1234 and s_money >= 1234 and T = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.010000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankName` FROM `pay_bank` WHERE id=438 and UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankBranch` FROM `pay_bank` WHERE id=438 and UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankAccountNumber` FROM `pay_bank` WHERE id=438 and UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankCompellation` FROM `pay_bank` WHERE id=438 and UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `zhihang` FROM `pay_bank` WHERE id=438 and UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.010001s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: INSERT INTO `pay_tklist` (`UserID`,`tk_money`,`sxf_money`,`money`,`bankname`,`fen_bankname`,`bank_number`,`myname`,`sq_date`,`zhi_bankname`,`T`) VALUES ('369','1234','0.00',1234,'支付�\�1','支付�\�1','12345','1111','2017-08-21 01:07:10','支付�\�1','1') [ RunTime:0.001000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: UPDATE `pay_money` SET `UserID`='369',`Money`=98487 WHERE UserID=369 [ RunTime:0.001000s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_moneybd` [ RunTime:0.010001s ]
[ 2017-08-21T01:07:10+08:00 ] /User_Index_tkmoney.html | SQL: INSERT INTO `pay_moneybd` (`UserID`,`money`,`ymoney`,`gmoney`,`datetime`,`lx`) VALUES ('369',-1234,'99721.000',98487,'2017-08-21 01:07:10',4) [ RunTime:0.001000s ]
