[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='robots.txt' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_template ] --START--
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run ShowRuntime Behavior [ RunTime:0.015625s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_end ] --START--
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T01:04:11+08:00 ] / | INFO: Tag[ app_begin ] --START--
