[ 2017-03-06T12:38:46+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-03-06T12:38:46+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000791s ]
[ 2017-03-06T12:38:46+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012910s ]
[ 2017-03-06T12:38:46+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-03-06T12:38:47+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.008815s ]
[ 2017-03-06T12:38:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000687s ]
[ 2017-03-06T12:38:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000627s ]
[ 2017-03-06T12:38:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000637s ]
[ 2017-03-06T12:38:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000399s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001642s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001730s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.025260s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025343s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000741s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001288s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000697s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000840s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003777s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000846s ]
[ 2017-03-06T12:38:47+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000919s ]
[ 2017-03-06T12:40:10+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-03-06T12:40:10+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
