[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankBranch` FROM `pay_bank` WHERE id= and UserID=368 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankAccountNumber` FROM `pay_bank` WHERE id= and UserID=368 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankCompellation` FROM `pay_bank` WHERE id= and UserID=368 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `zhihang` FROM `pay_bank` WHERE id= and UserID=368 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.012001s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: INSERT INTO `pay_tklist` (`UserID`,`tk_money`,`sxf_money`,`money`,`bankname`,`fen_bankname`,`bank_number`,`myname`,`sq_date`,`zhi_bankname`,`T`) VALUES ('368','222','0.00',222,null,null,null,null,'2017-08-20 21:58:20',null,'1') [ RunTime:0.001000s ]
[ 2017-08-20T21:58:25+08:00 ] /User_Index_zdjsb.html | INFO: Tag[ route_check ] --START--
[ 2017-08-20T21:58:25+08:00 ] /User_Index_zdjsb.html | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2017-08-20T21:58:25+08:00 ] /User_Index_zdjsb.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2017-08-20T21:58:25+08:00 ] /User_Index_zdjsb.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T21:58:25+08:00 ] /User_Index_zdjsb.html | INFO: Tag[ app_begin ] --START--
