[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT COUNT(*) AS tp_count FROM `pay_tklist` WHERE DATEDIFF(now(),sq_date) = 0 and UserID = 369 LIMIT 1   [ RunTime:0.001001s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_tklist` WHERE DATEDIFF(now(),sq_date) = 0 and UserID = 369 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `tksz` FROM `pay_tkconfig` WHERE UserID=0 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `sz` FROM `pay_tkconfig` WHERE UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8] Undefined variable: tkiflx IndexAction.class.php 第 1662 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | INFO: Tag[ view_template ] --START--
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | INFO: Tag[ view_parse ] --START--
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
