[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-26T00:04:31+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.015625s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:31+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | INFO: Run CheckRoute Behavior [ RunTime:0.015625s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.015625s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | SQL: SHOW COLUMNS FROM `pay_moneybd` [ RunTime:0.000000s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | SQL: SELECT COUNT(*) AS tp_count FROM `pay_moneybd` WHERE 1=1 and UserID = '297' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-26T00:04:52+08:00 ] /User_Index_zjbdjl.html | SQL: SELECT * FROM `pay_moneybd` WHERE 1=1 and UserID = '297' ORDER BY datetime desc LIMIT 0,10   [ RunTime:0.000000s ]
