[ 2017-02-08T00:00:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-08T00:00:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-08T00:00:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-08T00:00:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-08T00:00:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-08T00:00:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '32425820170207235726' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-08T00:00:03+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002929s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '32425820170207235726' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | INFO: Tag[ route_check ] --START--
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | INFO: Tag[ app_begin ] --START--
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [2048] Declaration of IndexAction::success() should be compatible with that of Action::success() IndexAction.class.php 第 254 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:04+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-08T00:00:05+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=50880120170208000004&P_CardId=admin&P_CardPass=&P_FaceValue=0.1&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://api.sindpay.com/PayApi/Notify_Url.php&P_Notify_url=http://api.sindpay.com/PayApi/Result_url.php&P_PostKey=18048a94cdcf9f2df22008d1bcc7fbf3 | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.002930s ]
